task,seed,step,gate_value
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,10132,0.500
walker walk,123,15132,0.500
walker walk,123,15132,0.500
walker walk,123,15132,0.400
walker walk,123,15132,0.500
walker walk,123,20132,0.400
walker walk,123,20132,0.400
walker walk,123,20132,0.400
walker walk,123,20132,0.500
walker walk,123,25132,0.500
walker walk,123,25132,0.500
walker walk,123,25132,0.400
walker walk,123,25132,0.500
walker walk,123,30132,0.400
walker walk,123,30132,0.500
walker walk,123,30132,0.400
walker walk,123,30132,0.500
walker walk,123,35132,0.400
walker walk,123,35132,0.500
walker walk,123,35132,0.300
walker walk,123,35132,0.500
walker walk,123,40132,0.400
walker walk,123,40132,0.400
walker walk,123,40132,0.300
walker walk,123,40132,0.500
walker walk,123,45132,0.400
walker walk,123,45132,0.400
walker walk,123,45132,0.300
walker walk,123,45132,0.500
walker walk,123,50132,0.400
walker walk,123,50132,0.500
walker walk,123,50132,0.400
walker walk,123,50132,0.500
walker walk,123,55132,0.400
walker walk,123,55132,0.400
walker walk,123,55132,0.300
walker walk,123,55132,0.500
walker walk,123,60132,0.400
walker walk,123,60132,0.500
walker walk,123,60132,0.300
walker walk,123,60132,0.500
walker walk,123,65132,0.400
walker walk,123,65132,0.400
walker walk,123,65132,0.300
walker walk,123,65132,0.500
walker walk,123,70132,0.400
walker walk,123,70132,0.500
walker walk,123,70132,0.300
walker walk,123,70132,0.500
walker walk,123,75132,0.400
walker walk,123,75132,0.400
walker walk,123,75132,0.400
walker walk,123,75132,0.500
walker walk,123,80132,0.400
walker walk,123,80132,0.500
walker walk,123,80132,0.300
walker walk,123,80132,0.500
walker walk,123,85132,0.400
walker walk,123,85132,0.500
walker walk,123,85132,0.300
walker walk,123,85132,0.500
walker walk,123,90132,0.400
walker walk,123,90132,0.400
walker walk,123,90132,0.300
walker walk,123,90132,0.500
walker walk,123,95132,0.400
walker walk,123,95132,0.400
walker walk,123,95132,0.300
walker walk,123,95132,0.500
walker walk,123,100132,0.200
walker walk,123,100132,0.500
walker walk,123,105132,0.300
walker walk,123,105132,0.500
walker walk,123,110132,0.300
walker walk,123,110132,0.500
walker walk,123,115132,0.200
walker walk,123,115132,0.500
walker walk,123,120132,0.200
walker walk,123,120132,0.500
walker walk,123,125132,0.300
walker walk,123,125132,0.500
walker walk,123,130132,0.300
walker walk,123,130132,0.500
walker walk,123,135132,0.300
walker walk,123,135132,0.500
walker walk,123,140132,0.200
walker walk,123,140132,0.500
walker walk,123,145132,0.300
walker walk,123,145132,0.500
walker walk,123,150132,0.200
walker walk,123,150132,0.500
walker walk,123,155132,0.200
walker walk,123,155132,0.500
walker walk,123,160132,0.200
walker walk,123,160132,0.500
walker walk,123,165132,0.200
walker walk,123,165132,0.500
walker walk,123,170132,0.200
walker walk,123,170132,0.500
walker walk,123,175132,0.100
walker walk,123,175132,0.500
walker walk,123,180132,0.200
walker walk,123,180132,0.500
walker walk,123,185132,0.200
walker walk,123,185132,0.500
walker walk,123,190132,0.200
walker walk,123,190132,0.500
walker walk,123,195132,0.200
walker walk,123,195132,0.500
walker walk,123,200132,0.100
walker walk,123,200132,0.500
walker walk,123,205132,0.200
walker walk,123,205132,0.500
walker walk,123,210132,0.200
walker walk,123,210132,0.500
walker walk,123,215132,0.200
walker walk,123,215132,0.500
walker walk,123,220132,0.200
walker walk,123,220132,0.500
walker walk,123,225132,0.200
walker walk,123,225132,0.500
walker walk,123,230132,0.200
walker walk,123,230132,0.500
walker walk,123,235132,0.200
walker walk,123,235132,0.500
walker walk,123,240132,0.200
walker walk,123,240132,0.500
walker walk,123,245132,0.300
walker walk,123,245132,0.500
walker walk,123,250132,0.200
walker walk,123,250132,0.500
walker walk,123,255132,0.100
walker walk,123,255132,0.500
walker walk,123,260132,0.200
walker walk,123,260132,0.500
walker walk,123,265132,0.200
walker walk,123,265132,0.500
walker walk,123,270132,0.300
walker walk,123,270132,0.500
walker walk,123,275132,0.200
walker walk,123,275132,0.500
walker walk,123,280132,0.200
walker walk,123,280132,0.500
walker walk,123,285132,0.300
walker walk,123,285132,0.500
walker walk,123,290132,0.200
walker walk,123,290132,0.500
walker walk,123,295132,0.300
walker walk,123,295132,0.500
walker walk,123,300132,0.200
walker walk,123,300132,0.500
walker walk,123,305132,0.300
walker walk,123,305132,0.500
walker walk,456,5132,0.500
walker walk,456,5132,0.500
walker walk,456,5132,0.500
walker walk,456,10132,0.500
walker walk,456,10132,0.500
walker walk,456,10132,0.500
walker walk,456,15132,0.500
walker walk,456,15132,0.500
walker walk,456,15132,0.500
walker walk,456,20132,0.500
walker walk,456,20132,0.500
walker walk,456,20132,0.400
walker walk,456,25132,0.500
walker walk,456,25132,0.400
walker walk,456,25132,0.400
walker walk,456,30132,0.500
walker walk,456,30132,0.400
walker walk,456,30132,0.400
walker walk,456,35132,0.500
walker walk,456,35132,0.400
walker walk,456,35132,0.400
walker walk,456,40132,0.500
walker walk,456,40132,0.400
walker walk,456,40132,0.400
walker walk,456,45132,0.500
walker walk,456,45132,0.400
walker walk,456,45132,0.400
walker walk,456,50132,0.500
walker walk,456,50132,0.400
walker walk,456,50132,0.400
walker walk,456,55132,0.500
walker walk,456,55132,0.300
walker walk,456,55132,0.400
walker walk,456,60132,0.500
walker walk,456,60132,0.300
walker walk,456,60132,0.400
walker walk,456,65132,0.500
walker walk,456,65132,0.300
walker walk,456,65132,0.400
walker walk,456,70132,0.400
walker walk,456,70132,0.400
walker walk,456,70132,0.400
walker walk,456,75132,0.500
walker walk,456,75132,0.400
walker walk,456,75132,0.400
walker walk,456,80132,0.500
walker walk,456,80132,0.400
walker walk,456,80132,0.400
walker walk,456,85132,0.500
walker walk,456,85132,0.400
walker walk,456,85132,0.400
walker walk,456,90132,0.500
walker walk,456,90132,0.400
walker walk,456,90132,0.400
walker walk,456,95132,0.500
walker walk,456,95132,0.400
walker walk,456,95132,0.400
walker walk,456,100132,0.400
walker walk,456,105132,0.400
walker walk,456,110132,0.400
walker walk,456,115132,0.400
